iter	Passed	Remaining
410	4761	3452
411	4772	3440
412	4785	3429
413	4796	3417
414	4806	3405
415	4819	3394
416	4829	3382
417	4843	3371
418	4854	3360
419	4866	3348
420	4877	3336
421	4890	3326
422	4903	3315
423	4914	3303
424	4925	3291
425	4937	3279
426	4948	3268
427	4961	3257
428	4974	3246
429	4986	3235
430	4998	3224
431	5009	3212
432	5021	3200
433	5034	3189
434	5045	3178
435	5057	3166
436	5068	3154
437	5080	3143
438	5093	3132
439	5106	3121
440	5119	3111
441	5129	3098
442	5142	3088
443	5154	3076
444	5167	3065
445	5180	3054
446	5194	3044
447	5205	3032
448	5217	3021
449	5227	3008
450	5239	2997
451	5251	2985
452	5262	2974
453	5276	2963
454	5288	2952
455	5300	2940
456	5311	2929
457	5323	2917
458	5335	2905
459	5346	2894
460	5356	2881
461	5370	2870
462	5380	2858
463	5391	2846
464	5402	2835
465	5414	2823
466	5425	2811
467	5438	2800
468	5449	2788
469	5460	2776
470	5473	2765
471	5485	2754
472	5496	2742
473	5507	2730
474	5520	2719
475	5532	2707
476	5543	2696
477	5554	2684
478	5567	2673
479	5577	2661
480	5590	2650
481	5602	2638
482	5616	2627
483	5629	2617
484	5642	2605
485	5653	2594
486	5666	2582
487	5679	2571
488	5691	2560
489	5702	2548
490	5714	2536
491	5726	2525
492	5737	2513
493	5748	2501
494	5759	2490
495	5771	2478
496	5783	2466
497	5793	2454
498	5805	2443
499	5815	2430
500	5828	2419
501	5839	2407
502	5852	2396
503	5864	2385
504	5876	2373
505	5888	2362
506	5901	2351
507	5914	2340
508	5925	2328
509	5937	2316
510	5947	2304
511	5960	2293
512	5972	2282
513	5985	2270
514	5996	2258
515	6008	2247
516	6020	2235
517	6033	2224
518	6043	2212
519	6054	2200
520	6067	2189
521	6080	2178
522	6092	2166
523	6104	2155
524	6117	2143
525	6127	2131
526	6139	2120
527	6151	2108
528	6165	2097
529	6176	2086
530	6187	2074
531	6198	2062
532	6210	2050
533	6223	2039
534	6235	2027
535	6248	2016
536	6260	2005
537	6273	1994
538	6285	1982
539	6297	1970
540	6311	1959
541	6324	1948
542	6337	1937
543	6349	1925
544	6362	1914
545	6375	1903
546	6386	1891
547	6400	1880
548	6413	1869
549	6426	1857
550	6438	1846
551	6449	1834
552	6461	1822
553	6473	1811
554	6484	1799
555	6496	1787
556	6509	1776
557	6520	1764
558	6530	1752
559	6542	1740
560	6553	1729
561	6564	1717
562	6576	1705
563	6589	1694
564	6600	1682
565	6611	1670
566	6622	1658
567	6634	1646
568	6647	1635
569	6660	1624
570	6672	1612
571	6683	1600
572	6697	1589
573	6710	1578
574	6722	1566
575	6734	1555
576	6748	1543
577	6760	1532
578	6772	1520
579	6783	1508
580	6794	1496
581	6806	1485
582	6818	1473
583	6831	1462
584	6842	1450
585	6853	1438
586	6864	1426
